,Latitude,temperature
570,-15.81,53.09
571,64.52,51.92
572,34.35,77
573,34.26,68
574,-15.07,66.32
575,44.08,66.2
576,32.47,96.8
577,53.57,76.31
578,28.18,90.53
579,6.62,82.07
580,-32.03,50.3
581,43.13,86
582,-0.72,75.05
583,53.63,71.45
584,-43.53,53.6
585,-23.68,68
586,2.02,79.1
587,54.91,70.1
588,27.03,74.87
589,-23.53,67.49
590,50.67,53.6
591,13.64,80.6
592,42.68,78.38
593,52.04,66.2
594,2.82,82.4
595,16.99,82.4
596,56.17,73.4
597,65.4,58.58
598,25.94,85.67
599,46.42,50
600,29.72,89
601,-9.87,79.1
602,NA,errorherecozumel
603,56.02,48.2
604,46.64,61.37
605,-12.66,59.03
606,-2.54,74.06
607,47.57,49.4
608,NA,errorherekerteh
609,-1.75,76.22
610,-20.65,73.52
611,-45.87,44.6
612,40.77,81.53
613,-25.17,55.43
614,-17.91,42.11
615,-22.14,66.14
